# docs/project/tickets.tsv — THE TICKET INDEX. Every bug, cosmetic item and
# evolution of this project, one row per GitHub issue. THE SOURCE OF TRUTH FOR
# THE LIST (CLAUDE.md [VSP-182], maintainer-ruled 2026-09-14), and this header is
# its spec of record. docs/project/tickets.md is GENERATED from it
# (`python3 tools/tickets.py page`); the gate is tests/test_tickets.sh.
#
# ONE SOURCE OF TRUTH PER QUESTION:
#   the LIST — which tickets exist, their kind and status ...... this file
#   the STORY — report, discussion, rulings as given, resolution  the GitHub issue
#   the FACTS a ticket established .............................. the subject documents ([VSP-12])
#   what a SESSION did .......................................... STATE.md / STATE_HISTORY.md ([VSP-17])
# Live documents name a ticket by its issue number (#N) and never restate its
# status or content. A copy of past content names its origin and date, and goes
# only into a source of truth or an archive.
#
# ENOUGH STAYS LOCAL: without GitHub, the tree must answer four questions about
# every ticket — the four answer columns below. Only the conversation, and a
# third party's report text, may exist on GitHub alone.
#
# repo: DefinitelyFrenchName/VampireSaved
#
# COLUMNS (tab-separated; rows ordered newest issue first):
#   issue     the GitHub issue number, the key. Every issue on GitHub has exactly
#             one row; a ticket with no issue yet does not exist yet.
#   kind      bug | cosmetic | evolution. A change of kind is an edit here and a
#             label on GitHub, never a move.
#               bug        a defect: something does not do what it should
#               cosmetic   presentation only, no gameplay effect
#               evolution  a change or capability to add, not a defect
#   status    open | parked                                   the issue is OPEN
#             done | declined | not-ours | invalid | duplicate  the issue is CLOSED
#               done       fixed, or delivered
#               declined   ruled not to be done
#               not-ours   vanilla behaviour, or outside this project
#               invalid    the premise was refuted
#               duplicate  another ticket holds it (named in `decided`)
#             CLOSED MEANS NOTHING IS LEFT TO DO: an option kept open is its own
#             ticket, linked from this one.
#             GitHub's close reason (completed / not planned) is not mapped:
#             the status is this column's.
#   title     one searchable line, in our words
#   repro     how to reproduce it: a recording, a replay, a rig or a gate
#   decided   what was decided. Rulings are recorded locally whatever channel
#             gave them: STATE "Standing rulings", DECISIONS_HISTORY.md, a doc.
#   learned   what was learned: the mechanism, the measurement
#   wrong     what went wrong: retracted theories, traps, bad patterns
#             Each answer is `none`, or links separated by ` ; `. A link is a
#             repo-relative `path`, which must exist, or `path § text`, where
#             some line of the file must contain the text. `learned` and `wrong`
#             link a LIVE document (a subject doc, a gotchas bucket, a skill),
#             never STATE.md, which rolls, or an archive (`*_HISTORY.md`,
#             `*_history.md`).
#   sessions  the session keys that worked on it, comma-separated
#             (`14z-112,14z-126b`), each resolving in STATE.md or
#             STATE_HISTORY.md; or `-`
#
# BACKFILL DEBT: `?` in any column but issue and title marks a row not yet
# backfilled (the retrofit that opened this file, 2026-09-14). Only issues listed
# in tests/expected/tickets_debt.txt may carry `?`, and that list only SHRINKS:
# the commit that answers a row's last `?` removes the issue from it.
#
# THE GITHUB SIDE: docs/project/tickets_github.tsv is GitHub's issue list as
# saved by `python3 tools/tickets.py refresh` at a session close, and the gate
# compares open/closed against it offline. A NEW TICKET: create the issue,
# refresh, add the row. CLOSING ONE (CLAUDE.md [VSP-182]), in one commit: its
# facts go where they belong; the issue and the tree are reconciled and a closing
# comment states the resolution; this row records the status and the four
# answers; any STATE entry for it moves VERBATIM to STATE_HISTORY.md under the
# closing session's key.
#
# WHAT THE GATE DOES NOT CLAIM: that an answer is ENOUGH. That is judged at the
# close that closes the ticket.
issue	kind	status	title	repro	decided	learned	wrong	sessions
169	bug	open	pyron_3 Galactic Throw: the air throw connects on only one strength, and [j.6HP]'s frozen chain is a plain j.HP	tests/test_move_naming.sh ; tests/expected/move_naming_pyron.txt	none	docs/project/gotchas.md § MOVING A RIG'S SCHEDULE MOVES EVERY EVENT'S DOUBLE-PASS PHASE	none	14z-172
168	bug	open	The naming rigs' first X pin lands before the round starts on seven parts — the #136 ENTRANCE class	tests/audit_rig_opening.sh ; tests/expected/move_parity_events.tsv	none	docs/game/engine_internals.md § The round-start ENTRANCE and the round start ; docs/project/gotchas.md § A RIG PIN WRITTEN BEFORE THE ROUND STARTS IS OVERWRITTEN BY THE ENTRANCE	none	14z-171
167	evolution	open	A freeze leaves stale PINS the re-point sweep cannot see: a gate for superseded-fingerprint references	tests/test_phasec_spaces.sh ; tests/test_bbh_fidelity.sh	STATE.md § THE CLOSE TIER	docs/project/gotchas.md § THE RE-POINT SWEEP SEES BUILD NAMES IN THIS TREE ; HANDOFF.md § BEFORE THE TAGS: THE FREEZE-CADENCE STATIC TIER	docs/project/gotchas.md § THE RE-POINT SWEEP SEES BUILD NAMES IN THIS TREE	14z-170
166	bug	done	The generator's in-place placeholder scan corrupted 52 x2b7ef4 companion-effect records, shipped since merged-m16	tests/test_effect_placeholders.sh ; tests/audit_x2b7ef4_reach_m18.sh	DECISIONS_HISTORY.md § M19 supersedes M18, and its reachability measured first	docs/project/gotchas.md § A RESOLVER THAT SCANS IN PLACE READS ITS OWN OUTPUT ; docs/project/patch_notes.md § THE x2b7ef4 PLACEHOLDER RESOLVER	docs/platform/gotchas.md § The same sitting paid it a second time, worse	14z-170
165	bug	done	The tenants' vs2 EX inputs entered Dark Force through a placed copy of vs2's Change entry — a second, longer route into the mode	tests/audit_ex_refused.sh	DECISIONS_HISTORY.md § the tenants' vs2 EX route into Dark Force is DISABLED on our build ; DECISIONS_HISTORY.md § the disabled EX route does the NO-STOCK move ; DECISIONS_HISTORY.md § Pyron's 2623+PP with stock reads NATURALLY	docs/game/engine_internals.md § ruled 2026-09-18: disable it	docs/project/gotchas.md § A LABEL IN A CENSUS ROW IS NOT A DESIGN	14z-168,14z-169,14z-170
164	bug	done	Phobos and Donovan took damage and rallied through their shells' defense rows (vsavj's copies for ids 0x10/0x13), not vs2's own	tests/audit_defense_row_residue.sh ; tests/test_defense_rows_census.sh	DECISIONS_HISTORY.md § the tenants' DEFENSE rows become vs2's	docs/project/tables/defense_rows.md § by the data-only route ; docs/project/tables/defense_rows.md § ONE RESIDUAL IS OPEN	docs/project/gotchas.md § A GATE THAT LOOKS UP "OURS" IN A PRISTINE IMAGE ; docs/project/gotchas.md § A FIX THAT MOVES A FROZEN VALUE HAS TO LAND ON NATIVE	14z-145,14z-168,14z-169,14z-170
163	bug	open	The Killshread Lightning column and the Plasma Trap ran vsavj's shock remap instead of vs2's class-0x52 rule — the victim's freeze and the attacker's hit-freeze differed from native	tests/audit_column_shock.sh ; tests/audit_trap_shock.sh	DECISIONS_HISTORY.md § the column shock and the Plasma Trap take vs2's class-0x52 rule ; DECISIONS_HISTORY.md § the class-0x52 fix is scoped to the tracks that carry its machinery ; DECISIONS_HISTORY.md § the column KO under the class-0x52 rule reads clean on the capture	docs/game/engine_internals.md § The fix as built (14z-170, the M19 freeze; scope S1	docs/game/gotchas.md § A CROSS-GAME COMPARISON NEEDS A MATCHED PLAY MODE AND A PINNED RNG	14z-168,14z-169,14z-170
162	cosmetic	open	The deity above Donovan flashes orange as the Killshread Lightning column ends — an extra palette-sequence upload of row 11 native does not make	tests/audit_column_flash.sh	DECISIONS_HISTORY.md § the orange flash on the column's deity is a cosmetic ticket	docs/game/engine_internals.md § Port note — Donovan's Killshread Lightning column	docs/platform/gotchas.md § PAID AGAIN 14z-170	14z-170
161	bug	open	Phobos takes one more HP than native from Demitri's 5HP with his defense rows already vs2's (12 against 11)	tests/audit_phobos_dmg_residual.sh	DECISIONS_HISTORY.md § Phobos's remaining +1 damage from Demitri's 5HP after the defense-row fix	docs/project/tables/defense_rows.md § ONE RESIDUAL IS OPEN	docs/project/gotchas.md § A FIX THAT MOVES A FROZEN VALUE HAS TO LAND ON NATIVE	14z-170
160	bug	open	rulecheck.py: prepare's auto id collides with a run directory that has no ledger row	tools/rulecheck.py § rid = a.id or	none	none	none	14z-167
